"","id","realtime_start","realtime_end","title","observation_start","observation_end","frequency","frequency_short","units","units_short","seasonal_adjustment","seasonal_adjustment_short","last_updated","popularity","group_popularity","notes"
"11","MEDCPIM158SFRBCLE","2023-12-17","2023-12-17","Median Consumer Price Index","1983-01-01","2023-11-01","Monthly","M","Percent Change at Annual Rate","% Chg. at Annual Rate","Seasonally Adjusted","SA","2023-12-12 14:02:01-06",72,73,"Median Consumer Price Index (CPI) is a measure of core inflation calculated the Federal Reserve Bank of Cleveland and the Ohio State University. Median CPI was created as a different way to get a 'Core CPI' measure, or a better measure of underlying inflation trends. To calculate the Median CPI, the Cleveland Fed analyzes the median price change of the goods and services published by the BLS. The median price change is the price change that's right in the middle of the long list of all of the price changes. This series excludes 49.5% of the CPI components with the highest and lowest one-month price changes from each tail of the price-change distribution resulting in a Median CPI Inflation Estimate.

According to research from the Cleveland Fed, the Median CPI provides a better signal of the inflation trend than either the all-items CPI or the CPI excluding food and energy. According to newer research done at the Cleveland Fed, the Median CPI is even better at PCE inflation in the near and longer term than the core PCE.

For further information, visit The Federal Reserve Bank of Cleveland (https://www.clevelandfed.org/indicators-and-data/median-cpi#background)."
"12","CUUR0000SA0R","2023-12-17","2023-12-17","Consumer Price Index for All Urban Consumers: Purchasing Power of the Consumer Dollar in U.S. City Average","1913-01-01","2023-11-01","Monthly","M","Index 1982-1984=100","Index 1982-1984=100","Not Seasonally Adjusted","NSA","2023-12-12 07:41:03-06",70,70,NA
"13","CUSR0000SAH1","2023-12-17","2023-12-17","Consumer Price Index for All Urban Consumers: Shelter in U.S. City Average","1953-01-01","2023-11-01","Monthly","M","Index 1982-1984=100","Index 1982-1984=100","Seasonally Adjusted","SA","2023-12-12 07:42:02-06",68,68,NA
"14","CPIUFDSL","2023-12-17","2023-12-17","Consumer Price Index for All Urban Consumers: Food in U.S. City Average","1947-01-01","2023-11-01","Monthly","M","Index 1982-1984=100","Index 1982-1984=100","Seasonally Adjusted","SA","2023-12-12 07:42:03-06",67,69,"Handbook of Methods - (https://www.bls.gov/opub/hom/pdf/cpihom.pdf) Understanding the CPI: Frequently Asked Questions - (http://stats.bls.gov:80/cpi/cpifaq.htm)"
"15","CUSR0000SAF11","2023-12-17","2023-12-17","Consumer Price Index for All Urban Consumers: Food at Home in U.S. City Average","1952-01-01","2023-11-01","Monthly","M","Index 1982-1984=100","Index 1982-1984=100","Seasonally Adjusted","SA","2023-12-12 07:42:03-06",66,67,NA
"16","APU0000703112","2023-12-17","2023-12-17","Average Price: Ground Beef, 100% Beef (Cost per Pound/453.6 Grams) in U.S. City Average","1984-01-01","2023-11-01","Monthly","M","U.S. Dollars","U.S. $","Not Seasonally Adjusted","NSA","2023-12-12 09:04:03-06",66,66,"Fresh regular 100% ground beef excluding round, chuck, and sirloin. Includes organic and non-organic. Excludes pre-formed patties.

Average consumer prices are calculated for household fuel, motor fuel, and food items from prices collected for the Consumer Price Index (CPI). Average prices are best used to measure the price level in a particular month, not to measure price change over time. It is more appropriate to use CPI index values for the particular item categories to measure price change.

Prices, except for electricity, are collected monthly by BLS representatives in the 75 urban areas priced for the CPI. Electricity prices are collected for the BLS for the same 75 areas on a monthly basis by the Department of Energy using mail questionnaires. All fuel prices include applicable Federal, State, and local taxes; prices for natural gas and electricity also include fuel and purchased gas adjustments.

For more information, please visit the Bureau of Labor Statistics (https://www.bls.gov/cpi/factsheets/average-prices.htm)."
"17","CUUR0000SETA01","2023-12-17","2023-12-17","Consumer Price Index for All Urban Consumers: New Vehicles in U.S. City Average","1947-03-01","2023-11-01","Monthly","M","Index 1982-1984=100","Index 1982-1984=100","Not Seasonally Adjusted","NSA","2023-12-12 07:41:04-06",65,71,NA
"18","APU000072610","2023-12-17","2023-12-17","Average Price: Electricity per Kilowatt-Hour in U.S. City Average","1978-11-01","2023-11-01","Monthly","M","U.S. Dollars","U.S. $","Not Seasonally Adjusted","NSA","2023-12-12 09:05:01-06",65,65,"All electricity.

Average consumer prices are calculated for household fuel, motor fuel, and food items from prices collected for the Consumer Price Index (CPI). Average prices are best used to measure the price level in a particular month, not to measure price change over time. It is more appropriate to use CPI index values for the particular item categories to measure price change.

Prices, except for electricity, are collected monthly by BLS representatives in the 75 urban areas priced for the CPI. Electricity prices are collected for the BLS for the same 75 areas on a monthly basis by the Department of Energy using mail questionnaires. All fuel prices include applicable Federal, State, and local taxes; prices for natural gas and electricity also include fuel and purchased gas adjustments.

For more information, please visit the Bureau of Labor Statistics (https://www.bls.gov/cpi/factsheets/average-prices.htm)."
"19","APU0000FF1101","2023-12-17","2023-12-17","Average Price: Chicken Breast, Boneless (Cost per Pound/453.6 Grams) in U.S. City Average","2006-01-01","2023-11-01","Monthly","M","U.S. Dollars","U.S. $","Not Seasonally Adjusted","NSA","2023-12-12 09:04:03-06",65,65,"All whole or half boneless, skinless chicken breasts. Includes organic, non-organic, fresh, and frozen, as well as other descriptive claims.

Average consumer prices are calculated for household fuel, motor fuel, and food items from prices collected for the Consumer Price Index (CPI). Average prices are best used to measure the price level in a particular month, not to measure price change over time. It is more appropriate to use CPI index values for the particular item categories to measure price change.

Prices, except for electricity, are collected monthly by BLS representatives in the 75 urban areas priced for the CPI. Electricity prices are collected for the BLS for the same 75 areas on a monthly basis by the Department of Energy using mail questionnaires. All fuel prices include applicable Federal, State, and local taxes; prices for natural gas and electricity also include fuel and purchased gas adjustments.

For more information, please visit the Bureau of Labor Statistics (https://www.bls.gov/cpi/factsheets/average-prices.htm)."
"20","CPIENGSL","2023-12-17","2023-12-17","Consumer Price Index for All Urban Consumers: Energy in U.S. City Average","1957-01-01","2023-11-01","Monthly","M","Index 1982-1984=100","Index 1982-1984=100","Seasonally Adjusted","SA","2023-12-12 07:41:04-06",64,64,"Handbook of Methods - (https://www.bls.gov/opub/hom/pdf/cpihom.pdf) Understanding the CPI: Frequently Asked Questions - (http://stats.bls.gov:80/cpi/cpifaq.htm)"
"21","APU0000702111","2023-12-17","2023-12-17","Average Price: Bread, White, Pan (Cost per Pound/453.6 Grams) in U.S. City Average","1980-01-01","2023-11-01","Monthly","M","U.S. Dollars","U.S. $","Not Seasonally Adjusted","NSA","2023-12-12 09:04:04-06",63,63,"All white pre-packaged regular bread regardless of size. Includes frozen and fresh bread.

Average consumer prices are calculated for household fuel, motor fuel, and food items from prices collected for the Consumer Price Index (CPI). Average prices are best used to measure the price level in a particular month, not to measure price change over time. It is more appropriate to use CPI index values for the particular item categories to measure price change.

Prices, except for electricity, are collected monthly by BLS representatives in the 75 urban areas priced for the CPI. Electricity prices are collected for the BLS for the same 75 areas on a monthly basis by the Department of Energy using mail questionnaires. All fuel prices include applicable Federal, State, and local taxes; prices for natural gas and electricity also include fuel and purchased gas adjustments.

For more information, please visit the Bureau of Labor Statistics (https://www.bls.gov/cpi/factsheets/average-prices.htm)."
"22","RRSFS","2023-12-17","2023-12-17","Advance Real Retail and Food Services Sales","1992-01-01","2023-11-01","Monthly","M","Millions of 1982-84 CPI Adjusted Dollars","Mil. of 1982-84 CPI Adjusted $","Seasonally Adjusted","SA","2023-12-14 07:39:01-06",63,63,"The data in this series are calculated using two series, and as such only update when those series update. This series is constructed from Advance Retail and Food Services Sales (RSAFS (https://fred.stlouisfed.org/series/RSAFS)) deflated using the Consumer Price Index for All Urban Consumers (1982-84=100) (CPIAUCSL (https://fred.stlouisfed.org/series/CPIAUCSL))."
"23","CPIAPPSL","2023-12-17","2023-12-17","Consumer Price Index for All Urban Consumers: Apparel in U.S. City Average","1947-01-01","2023-11-01","Monthly","M","Index 1982-1984=100","Index 1982-1984=100","Seasonally Adjusted","SA","2023-12-12 07:42:03-06",62,62,NA
"24","CUSR0000SASLE","2023-12-17","2023-12-17","Consumer Price Index for All Urban Consumers: Services Less Energy Services in U.S. City Average","1967-01-01","2023-11-01","Monthly","M","Index 1982-1984=100","Index 1982-1984=100","Seasonally Adjusted","SA","2023-12-12 07:41:04-06",62,62,NA
"25","CUSR0000SETA01","2023-12-17","2023-12-17","Consumer Price Index for All Urban Consumers: New Vehicles in U.S. City Average","1953-01-01","2023-11-01","Monthly","M","Index 1982-1984=100","Index 1982-1984=100","Seasonally Adjusted","SA","2023-12-12 07:41:05-06",62,71,NA
"26","STICKCPIM157SFRBATL","2023-12-17","2023-12-17","Sticky Price Consumer Price Index","1967-01-01","2023-11-01","Monthly","M","Percent Change","% Chg.","Seasonally Adjusted","SA","2023-12-12 12:01:02-06",61,63,"The Sticky Price Consumer Price Index (CPI) is calculated from a subset of goods and services included in the CPI that change price relatively infrequently. Because these goods and services change price relatively infrequently, they are thought to incorporate expectations about future inflation to a greater degree than prices that change on a more frequent basis. One possible explanation for sticky prices could be the costs firms incur when changing price.

To obtain more information about this release see: Michael F. Bryan, and Brent H. Meyer. “Are Some Prices in the CPI More Forward Looking Than Others? We Think So.” Economic Commentary (Federal Reserve Bank of Cleveland) (May 19, 2010): 1–6. https://doi.org/10.26509/frbc-ec-201002 (https://doi.org/10.26509/frbc-ec-201002)."
"27","CUSR0000SETB01","2023-12-17","2023-12-17","Consumer Price Index for All Urban Consumers: Gasoline (All Types) in U.S. City Average","1967-01-01","2023-11-01","Monthly","M","Index 1982-1984=100","Index 1982-1984=100","Seasonally Adjusted","SA","2023-12-12 07:41:05-06",61,62,NA
"28","APU0000709112","2023-12-17","2023-12-17","Average Price: Milk, Fresh, Whole, Fortified (Cost per Gallon/3.8 Liters) in U.S. City Average","1995-07-01","2023-11-01","Monthly","M","U.S. Dollars","U.S. $","Not Seasonally Adjusted","NSA","2023-12-12 09:04:04-06",61,61,"Fresh whole milk, fortified, sold per gallon regardless of packaging type. Includes organic and non-organic milk.

Average consumer prices are calculated for household fuel, motor fuel, and food items from prices collected for the Consumer Price Index (CPI). Average prices are best used to measure the price level in a particular month, not to measure price change over time. It is more appropriate to use CPI index values for the particular item categories to measure price change.

Prices, except for electricity, are collected monthly by BLS representatives in the 75 urban areas priced for the CPI. Electricity prices are collected for the BLS for the same 75 areas on a monthly basis by the Department of Energy using mail questionnaires. All fuel prices include applicable Federal, State, and local taxes; prices for natural gas and electricity also include fuel and purchased gas adjustments.

For more information, please visit the Bureau of Labor Statistics (https://www.bls.gov/cpi/factsheets/average-prices.htm)."
"29","PCETRIM12M159SFRBDAL","2023-12-17","2023-12-17","Trimmed Mean PCE Inflation Rate","1978-01-01","2023-10-01","Monthly","M","Percent Change from Year Ago","% Chg. from Yr. Ago","Seasonally Adjusted","SA","2023-11-30 10:51:01-06",60,63,"The Trimmed Mean PCE inflation rate produced by the Federal Reserve Bank of Dallas is an alternative measure of core inflation in the price index for personal consumption expenditures (PCE). The data series is calculated by the Dallas Fed, using data from the Bureau of Economic Analysis (BEA). Calculating the trimmed mean PCE inflation rate for a given month involves looking at the price changes for each of the individual components of personal consumption expenditures. The individual price changes are sorted in ascending order from “fell the most” to “rose the most,” and a certain fraction of the most extreme observations at both ends of the spectrum are thrown out or trimmed. The inflation rate is then calculated as a weighted average of the remaining components. The trimmed mean inflation rate is a proxy for true core PCE inflation rate. The resulting inflation measure has been shown to outperform the more conventional “excluding food and energy” measure as a gauge of core inflation."
"30","CUSR0000SEHF01","2023-12-17","2023-12-17","Consumer Price Index for All Urban Consumers: Electricity in U.S. City Average","1952-01-01","2023-11-01","Monthly","M","Index 1982-1984=100","Index 1982-1984=100","Seasonally Adjusted","SA","2023-12-12 07:42:04-06",60,61,NA
"31","CUSR0000SETG01","2023-12-17","2023-12-17","Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average","1989-01-01","2023-11-01","Monthly","M","Index 1982-1984=100","Index 1982-1984=100","Seasonally Adjusted","SA","2023-12-12 07:41:05-06",60,61,NA
"32","CUSR0000SAM2","2023-12-17","2023-12-17","Consumer Price Index for All Urban Consumers: Medical Care Services in U.S. City Average","1956-01-01","2023-11-01","Monthly","M","Index 1982-1984=100","Index 1982-1984=100","Seasonally Adjusted","SA","2023-12-12 07:42:04-06",60,60,NA
"33","CUSR0000SEFV","2023-12-17","2023-12-17","Consumer Price Index for All Urban Consumers: Food Away from Home in U.S. City Average","1953-01-01","2023-11-01","Monthly","M","Index 1982-1984=100","Index 1982-1984=100","Seasonally Adjusted","SA","2023-12-12 07:42:05-06",59,62,NA
"34","USACPIALLMINMEI","2023-12-17","2023-12-17","Consumer Price Index: All Items: Total for United States","1960-01-01","2023-10-01","Monthly","M","Index 2015=100","Index 2015=100","Not Seasonally Adjusted","NSA","2023-12-12 14:48:03-06",59,82,"OECD Descriptor ID: CPALTT01
OECD unit ID: IDX
OECD country ID: USA

All OECD data should be cited as follows: OECD, ""Main Economic Indicators - complete database"", Main Economic Indicators (database), https://dx.doi.org/10.1787/data-00052-en (Accessed on date) Copyright, 2016, OECD. Reprinted with permission"
"35","CUSR0000SEHA","2023-12-17","2023-12-17","Consumer Price Index for All Urban Consumers: Rent of Primary Residence in U.S. City Average","1981-01-01","2023-11-01","Monthly","M","Index 1982-1984=100","Index 1982-1984=100","Seasonally Adjusted","SA","2023-12-12 07:42:04-06",59,76,NA
"36","WPSFD4111","2023-12-17","2023-12-17","Producer Price Index by Commodity: Final Demand: Finished Consumer Foods","1947-04-01","2023-11-01","Monthly","M","Index 1982=100","Index 1982=100","Seasonally Adjusted","SA","2023-12-13 07:53:03-06",57,58,NA
"37","RBUSBIS","2023-12-17","2023-12-17","Real Broad Effective Exchange Rate for United States","1994-01-01","2023-10-01","Monthly","M","Index 2020=100","Index 2020=100","Not Seasonally Adjusted","NSA","2023-11-16 11:01:02-06",57,57,"Real effective exchange rates are calculated as weighted averages of bilateral exchange rates adjusted by relative consumer prices.

Copyright, 2016, Bank for International Settlements (BIS). Terms and conditions of use are available at http://www.bis.org/terms_conditions.htm#Copyright_and_Permissions."
"38","APU0000FN1101","2023-12-17","2023-12-17","Average Price: All Soft Drinks (Cost per 2 Liters/67.6 Ounces) in U.S. City Average","2018-04-01","2023-11-01","Monthly","M","U.S. Dollars","U.S. $","Not Seasonally Adjusted","NSA","2023-12-12 09:04:05-06",57,57,"All soft drinks sold in a 2 liter bottle.

Average consumer prices are calculated for household fuel, motor fuel, and food items from prices collected for the Consumer Price Index (CPI). Average prices are best used to measure the price level in a particular month, not to measure price change over time. It is more appropriate to use CPI index values for the particular item categories to measure price change.

Prices, except for electricity, are collected monthly by BLS representatives in the 75 urban areas priced for the CPI. Electricity prices are collected for the BLS for the same 75 areas on a monthly basis by the Department of Energy using mail questionnaires. All fuel prices include applicable Federal, State, and local taxes; prices for natural gas and electricity also include fuel and purchased gas adjustments.

For more information, please visit the Bureau of Labor Statistics (https://www.bls.gov/cpi/factsheets/average-prices.htm)."
"39","CUSR0000SEHC","2023-12-17","2023-12-17","Consumer Price Index for All Urban Consumers: Owners' Equivalent Rent of Residences in U.S. City Average","1983-01-01","2023-11-01","Monthly","M","Index Dec 1982=100","Index Dec 1982=100","Seasonally Adjusted","SA","2023-12-12 07:42:05-06",57,57,NA
"40","CUSR0000SAM1","2023-12-17","2023-12-17","Consumer Price Index for All Urban Consumers: Medical Care Commodities in U.S. City Average","1967-01-01","2023-11-01","Monthly","M","Index 1982-1984=100","Index 1982-1984=100","Seasonally Adjusted","SA","2023-12-12 07:42:05-06",57,57,NA
"41","CPIEDUSL","2023-12-17","2023-12-17","Consumer Price Index for All Urban Consumers: Education and Communication in U.S. City Average","1993-01-01","2023-11-01","Monthly","M","Index Dec 1997=100","Index Dec 1997=100","Seasonally Adjusted","SA","2023-12-12 07:42:05-06",57,57,NA
"42","APU0000701111","2023-12-17","2023-12-17","Average Price: Flour, White, All Purpose (Cost per Pound/453.6 Grams) in U.S. City Average","1980-01-01","2023-11-01","Monthly","M","U.S. Dollars","U.S. $","Not Seasonally Adjusted","NSA","2023-12-12 09:04:06-06",55,55,"All white, all-purpose flour regardless of package size. Includes self-rising, non self-rising, organic, non-organic, bleached, and unbleached.

Average consumer prices are calculated for household fuel, motor fuel, and food items from prices collected for the Consumer Price Index (CPI). Average prices are best used to measure the price level in a particular month, not to measure price change over time. It is more appropriate to use CPI index values for the particular item categories to measure price change.

Prices, except for electricity, are collected monthly by BLS representatives in the 75 urban areas priced for the CPI. Electricity prices are collected for the BLS for the same 75 areas on a monthly basis by the Department of Energy using mail questionnaires. All fuel prices include applicable Federal, State, and local taxes; prices for natural gas and electricity also include fuel and purchased gas adjustments.

For more information, please visit the Bureau of Labor Statistics (https://www.bls.gov/cpi/factsheets/average-prices.htm)."
"43","APU0000FS1101","2023-12-17","2023-12-17","Average Price: Butter, Stick (Cost per Pound/453.6 Grams) in U.S. City Average","2018-04-01","2023-11-01","Monthly","M","U.S. Dollars","U.S. $","Not Seasonally Adjusted","NSA","2023-12-12 09:04:05-06",55,55,"Regular butter, sold in sticks, per pound (16 oz.). Includes organic and non-organic butter.

Average consumer prices are calculated for household fuel, motor fuel, and food items from prices collected for the Consumer Price Index (CPI). Average prices are best used to measure the price level in a particular month, not to measure price change over time. It is more appropriate to use CPI index values for the particular item categories to measure price change.

Prices, except for electricity, are collected monthly by BLS representatives in the 75 urban areas priced for the CPI. Electricity prices are collected for the BLS for the same 75 areas on a monthly basis by the Department of Energy using mail questionnaires. All fuel prices include applicable Federal, State, and local taxes; prices for natural gas and electricity also include fuel and purchased gas adjustments.

For more information, please visit the Bureau of Labor Statistics (https://www.bls.gov/cpi/factsheets/average-prices.htm)."
"44","CPIMEDSL","2023-12-17","2023-12-17","Consumer Price Index for All Urban Consumers: Medical Care in U.S. City Average","1947-01-01","2023-11-01","Monthly","M","Index 1982-1984=100","Index 1982-1984=100","Seasonally Adjusted","SA","2023-12-12 07:42:04-06",54,55,NA
